,Low-False,Low-True,Normal-False,Normal-True,SlightlyIncreased-False,SlightlyIncreased-True,Moderate-False,Moderate-True,High-False,High-True,VeryHigh-False,VeryHigh-True
Heavy Drizzle,Don't worry if your jeans get a bit wet as your genes and your health can handle this gloomy weather.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,Don't worry if your jeans get a bit wet as your genes and your health can handle this gloomy weather.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,Don't worry if your jeans get a bit wet as your genes and your health can handle this gloomy weather.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement."
Heavy Rain,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
Heavy Snow,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Snow Grains,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Ice Crystals,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Ice Pellets,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Hail,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Mist,The mist may decrease visibility and create slippery conditions - be careful if going outside.,"Due to this misty weather, to proect your health consider taking a vitamin D supplement.",The mist may decrease visibility and create slippery conditions - be careful if going outside.,"Due to this misty weather, to proect your health consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Fog,The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.",The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Heavy Fog Patches,The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.",The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
